Year,MSHA ID,Mine Name,Mine State,Mine County,Mine Status,Mine Type,Company Type,Operation Type,Operating Company,Operating Company Address,Union Code,Coal Supply Region,Production (short tons),Average Employees,Labor Hours
2023,1516577,Mill Creek Prep Plant,Kentucky (East),Letcher,"Active, men working, not producing",Surface,Independent Producer Operator,Preparation Plant,"Bluegrass Resources, Llc","167 Consol Tipple Road, Deane, KY 41812",,Appalachia Central,0,6,"9,603"
2023,1516577,Mill Creek Prep Plant,Kentucky (East),Letcher,"Active, men working, not producing",Underground,Independent Producer Operator,Preparation Plant,"Bluegrass Resources, Llc","167 Consol Tipple Road, Deane, KY 41812",,Appalachia Central,0,5,"9,603"
2023,1519770,No. 4,Kentucky (East),Letcher,Active,Surface,Independent Producer Operator,Mine only,Phelps Energy And Resources 2,"10 Hollybush Branch, Premium, KY 41845",,Appalachia Central,"35,632",18,"36,680"
2023,1519829,Razorblade Surface,Kentucky (East),Letcher,"Active, men working, not producing",Surface,Independent Producer Operator,Mine only,"Bluegrass Resources, Llc","167 Consol Tipple Road, Deane, KY 41812",,Appalachia Central,"30,825",10,"16,108"
2023,1519852,Shm-70,Kentucky (East),Letcher,Active,Surface,Independent Producer Operator,Mine only,Mega Highwall Mining Llc.,"12081 Virginia Blvd, Ashland, KY 41102",,Appalachia Central,"3,82,555",11,"31,751"
2023,1519872,Trace Fork,Kentucky (East),Letcher,Active,Surface,Independent Producer Operator,Mine only,"Mark Energy, Llc","P.O. Box 283, Whitesburg, KY 41858",,Appalachia Central,"2,00,366",30,"69,394"
2023,1519890,Meadow Branch,Kentucky (East),Letcher,Active,Surface,Independent Producer Operator,Mine only,"Nally & Hamilton Enterprises,","P.O. Box 249, Calvin, KY 40813",,Appalachia Central,"2,34,418",39,"1,16,719"
2023,1519895,River Ridge P-1,Kentucky (East),Letcher,Active,Surface,Independent Producer Operator,Mine only,"4th Gen Fuels, Llc.","29 Grays Branch Road, Grays Knob, KY 40829",,Appalachia Central,"3,63,504",26,"76,881"
2023,1519909,Trace Fork #2,Kentucky (East),Letcher,Active,Underground,Independent Producer Operator,Mine only,"Coking Coal, Llc","6720 Dunbar Road, Appalachia, VA 24216",,Appalachia Central,"1,79,462",42,"93,850"
2023,1519931,Defeated Creek,Kentucky (East),Letcher,Active,Surface,Independent Producer Operator,Mine only,Nally & Hamilton Ent. Inc.,"P.O. Box 249, Calvin, KY 40813",,Appalachia Central,"1,23,884",20,"55,395"
2023,1519944,Deadening Branch,Kentucky (East),Letcher,Active,Surface,Independent Producer Operator,Mine only,"Mark Energy, Llc","P.O. Box 383, Whitesburg, KY 41858",,Appalachia Central,"47,665",8,"11,738"
2023,4609151,Shm 46 Highwall Miner,Kentucky (East),Letcher,"Active, men working, not producing",Surface,Independent Producer Operator,Mine only,Karbon Holding Corp.,"67050 Henderson Road, Saint Clairsv, OH 43950",,Appalachia Central,"12,152",5,"5,567"
2023,4609414,Hwm #73,Kentucky (East),Letcher,Active,Surface,Contractor,Mine only,"Commonwealth Mining,","145 George Street, Suite E, Beckley, WV 25801",,Appalachia Central,"1,09,040",13,"28,518"
2023,4609439,Shm60,Kentucky (East),Letcher,Active,Surface,Contractor,Mine only,"Wv Plc Repair, Inc.","P.O. Box 293, Whitman, WV 25652",,Appalachia Central,"1,42,348",4,"9,670"
